ID,NAME,Latitude,Longitude,StationID,Vej_temp,Luft_temp,Dewpoint
501,501,57.168970056536516,9.716704025144997,Vejtemp_501,10°,8°,8°
502,502,57.18648499755436,10.197393059686283,Vejtemp_502,9°,8°,8°
503,503,57.23263506048689,9.952227027932242,Vejtemp_503,9°,9°,9°
504,504,56.81309004122835,9.517480044680168,Vejtemp_504,11°,9°,9°
505,505,56.7832680704742,8.46719393269862,Vejtemp_505,10°,9°,9°
506,506,57.464615034894734,10.278332038002223,Vejtemp_506,8°,7°,7°
507,507,57.606647071335836,10.410720986279749,Vejtemp_507,9°,8°,8°
508,508,57.42240003494356,10.468651028061014,Vejtemp_508,9°,7°,7°
509,509,57.27866005338813,10.502083935517112,Vejtemp_509,9°,7°,7°
510,510,57.523450028063266,10.38541903273816,Vejtemp_510,9°,8°,8°
511,511,57.72939702249679,10.548962063792453,Vejtemp_511,10°,7°,7°
512,512,57.278400013088685,10.354231934336049,Vejtemp_512,10°,8°,8°
513,513,57.34569999326909,10.231861972681012,Vejtemp_513,9°,8°,8°
514,514,57.209435074407295,10.46408399753003,Vejtemp_514,9°,7°,7°
515,515,57.58126002389261,10.203319998002442,Vejtemp_515,8°,8°,8°
516,516,57.502224056554205,10.267570078242152,Vejtemp_516,9°,8°,8°
517,517,57.45607000316225,9.824703017077631,Vejtemp_517,7°,7°,7°
518,518,57.39361200897375,10.241886065291336,Vejtemp_518,7°,7°,7°
519,519,57.37047003003669,9.795657967779945,Vejtemp_519,8°,7°,7°
520,520,57.47803002652325,10.132289958504863,Vejtemp_520,6°,7°,7°
521,521,57.342380039589905,9.979072943867461,Vejtemp_521,8°,8°,8°
522,522,57.24744000623106,10.078795959426934,Vejtemp_522,7°,8°,8°
523,523,57.2160339998968,10.151687076041538,Vejtemp_523,8°,8°,8°
524,524,57.31798006850851,10.16498003236146,Vejtemp_524,8°,7°,7°
525,525,57.30760003840582,10.075786044293885,Vejtemp_525,7°,8°,8°
526,526,57.211735013693456,10.027475936943677,Vejtemp_526,8°,9°,9°
527,527,57.23145003080122,9.89323299698577,Vejtemp_527,9°,9°,9°
528,528,57.223362010911494,10.19885105119545,Vejtemp_528,5°,8°,8°
529,529,57.315277007963914,9.978054981889434,Vejtemp_529,8°,8°,8°
530,530,57.28807005260663,9.936956004078285,Vejtemp_530,8°,8°,8°
531,531,57.28553406264084,9.957435057233345,Vejtemp_531,8°,8°,8°
532,532,57.15361004403217,10.354303043454852,Vejtemp_532,9°,9°,9°
533,533,57.16306700330963,10.236579921963656,Vejtemp_533,8°,8°,8°
534,534,57.14210002716015,10.230348064977239,Vejtemp_534,8°,8°,8°
535,535,57.269294990044656,11.034536001254297,Vejtemp_535,9°,7°,7°
536,536,57.18520999838748,9.604970961598912,Vejtemp_536,9°,8°,8°
537,537,57.10979506341785,9.095023921367956,Vejtemp_537,9°,7°,7°
538,538,57.08163002223193,9.737164001850628,Vejtemp_538,9°,8°,8°
539,539,57.14885702917224,9.893393927247015,Vejtemp_539,10°,9°,9°
540,540,57.14223003738639,9.513567021898318,Vejtemp_540,8°,9°,9°
541,541,57.04498000520907,9.364000954413058,Vejtemp_541,10°,9°,9°
542,542,57.162810067258235,9.863531012598932,Vejtemp_542,9°,8°,8°
543,543,57.111690041446586,9.40842004258034,Vejtemp_543,8°,8°,8°
544,544,57.07250005175591,9.653732963276978,Vejtemp_544,8°,6°,6°
545,545,57.06473507473866,9.632674075448307,Vejtemp_545,8°,6°,6°
546,546,57.153419992350024,10.00386496347082,Vejtemp_546,9°,9°,9°
547,547,57.036358047249976,10.204873040682505,Vejtemp_547,10°,9°,9°
548,548,57.03808205458014,9.771648014377911,Vejtemp_548,9°,9°,9°
549,549,57.04003503515948,9.916248959475277,Vejtemp_549,11°,9°,9°
550,550,57.01319000710052,9.936358073408865,Vejtemp_550,11°,9°,9°
551,551,56.97718403430407,9.844146952831872,Vejtemp_551,9°,10°,10°
552,552,56.96374004832293,9.605425040652579,Vejtemp_552,12°,10°,10°
553,553,56.914573998441526,10.255478975256322,Vejtemp_553,11°,9°,9°
554,554,56.91157506729758,8.39181201729464,Vejtemp_554,10°,9°,9°
555,555,56.831279999464655,8.474092007748284,Vejtemp_555,9°,9°,9°
556,556,56.75907507066727,8.429073073171764,Vejtemp_556,10°,9°,9°
557,557,57.04141199753751,8.987108024901707,Vejtemp_557,8°,5°,5°
558,558,56.965034072503286,8.778057073515871,Vejtemp_558,9°,8°,8°
