ID,NAME,Latitude,Longitude,StationID,Vej_temp,Luft_temp,Dewpoint
120,120,55.45416300077401,12.002191918491256,Vejtemp_120,6,7,7
135,135,55.382904000340126,12.093438012247551,Vejtemp_135,7,8,8
147,147,54.792355065180345,11.65334194188115,Vejtemp_147,6,8,8
152,152,55.65880601965888,11.677907923000674,Vejtemp_152,5,7,7
153,153,54.75769003884585,11.92080994040657,Vejtemp_153,6,7,7
157,157,55.657330052371435,11.64765597175647,Vejtemp_157,5,7,7
191,191,54.986183004732304,12.472112949253143,Vejtemp_191,5,6,6
200,200,55.12680005617148,11.819159990475372,Vejtemp_200,6,7,7
204,204,54.76053207831077,11.208394054956903,Vejtemp_204,6,7,7
216,216,55.02594804675855,14.97752299086315,Vejtemp_216,6,8,8
224,224,55.49746299906822,9.083406069397714,Vejtemp_224,7,8,8
235,235,55.00925006695416,8.8521099379652,Vejtemp_235,6,7,7
247,247,55.19703001607457,10.51900993506941,Vejtemp_247,6,7,7
258,258,54.983680075139056,9.37906996558417,Vejtemp_258,8,8,8
295,295,55.07924004679484,8.659678006800615,Vejtemp_295,5,7,7
319,319,55.40231707323615,10.382826018726298,Vejtemp_319,6,8,8
33,33,55.62819007006396,12.584975052803832,Vejtemp_33,6,7,7
362,362,55.223470074028924,9.24604399812487,Vejtemp_362,6,8,8
400,400,56.404366062779864,10.106542071278751,Vejtemp_400,6,8,8
419,419,56.24042001466266,10.535011045403682,Vejtemp_419,6,8,8
447,447,55.92404607204269,9.679497972129548,Vejtemp_447,6,8,8
466,466,56.63791999797125,8.50826896270123,Vejtemp_466,7,9,9
476,476,56.10249702502076,8.718528934373666,Vejtemp_476,6,9,9
540,540,57.45390302424151,10.53283998264249,Vejtemp_540,4,7,7
542,542,57.36129002086921,10.481609982770019,Vejtemp_542,5,7,7
561,561,57.27866005338813,10.502083935517112,Vejtemp_561,3,7,7
602,602,57.04003503515948,9.916248959475277,Vejtemp_602,6,8,8
607,607,56.91157506729758,8.39181201729464,Vejtemp_607,6,8,8
626,626,56.75475305711703,8.66865907413721,Vejtemp_626,6,8,8
660,660,55.346348047128245,11.070842061578228,Vejtemp_660,9,8,8
